0.05,0.05,1
0.05,0.1,1
0.05,0.2,1
0.05,0.3,1
0.05,0.4,1
0.05,0.45,1
0.075,0.075,1
0.075,0.1,1
0.075,0.2,1
0.075,0.3,1
0.075,0.4,1
0.1,0.1,1
0.1,0.2,1
0.1,0.3,1
0.1,0.4,1
0.125,0.125,1
0.125,0.2,1
0.125,0.3,1
0.125,0.35,1
0.15,0.15,1
0.15,0.2,1
0.15,0.28,1
0.15,0.35,1
0.15,0.45,1
0.175,0.175,1
0.175,0.25,1
0.175,0.35,1
0.175,0.45,1
0.2,0.2,1
0.2,0.3,1
0.2,0.35,1
0.2,0.45,1
0.2,0.4,1
0.225,0.225,1
0.225,0.35,1
0.225,0.3,1
0.225,0.35,1
0.25,0.25,1
0.25,0.3,1
0.25,0.35,1
0.25,0.4,1
0.275,0.3,1
0.275,0.2,1
0.275,0.15,1
0.275,0.35,1
0.275,0.275,1
0.3,0.3,1
0.3,0.2,1
0.3,0.1,1
0.3,0.4,1
0.3,0.5,1
0.3,0.45,1
0.3,0.35,1
0.325,0.325,1
0.325,0.225,1
0.325,0.125,1
0.325,0.425,1
0.35,0.35,1
0.35,0.25,1
0.35,0.2,1
0.375,0.375,1
0.4,0.4,1
0.4,0.35,1
0.4,0.3,1
0.4,0.25,1
0.4,0.2,1
0.4,0.45,1
0.425,0.425,1
0.425,0.4,1
0.425,0.35,1
0.425,0.3,1
0.425,0.25,1
0.425,0.2,1
0.45,0.45,1
0.5,0.5,1
0.55,0.55,1
0.05,-0.05,4
0.05,-0.1,4
0.05,-0.2,4
0.05,-0.3,4
0.05,-0.4,4
0.05,-0.45,4
0.075,-0.075,4
0.075,-0.1,4
0.075,-0.2,4
0.075,-0.3,4
0.075,-0.4,4
0.1,-0.1,4
0.1,-0.2,4
0.1,-0.3,4
0.1,-0.4,4
0.125,-0.125,4
0.125,-0.2,4
0.125,-0.3,4
0.125,-0.35,4
0.15,-0.15,4
0.15,-0.2,4
0.15,-0.28,4
0.15,-0.35,4
0.15,-0.45,4
0.175,-0.175,4
0.175,-0.25,4
0.175,-0.35,4
0.175,-0.45,4
0.2,-0.2,4
0.2,-0.3,4
0.2,-0.35,4
0.2,-0.45,4
0.2,-0.4,4
0.225,-0.225,4
0.225,-0.35,4
0.225,-0.3,4
0.225,-0.35,4
0.25,-0.25,4
0.25,-0.3,4
0.25,-0.35,4
0.25,-0.4,4
0.275,-0.3,4
0.275,-0.2,4
0.275,-0.15,4
0.275,-0.35,4
0.275,-0.275,4
0.3,-0.3,4
0.3,-0.2,4
0.3,-0.1,4
0.3,-0.4,4
0.3,-0.5,4
0.3,-0.45,4
0.3,-0.35,4
0.325,-0.325,4
0.325,-0.225,4
0.325,-0.125,4
0.325,-0.425,4
0.35,-0.35,4
0.35,-0.25,4
0.35,-0.2,4
0.375,-0.375,4
0.4,-0.4,4
0.4,-0.35,4
0.4,-0.3,4
0.4,-0.25,4
